word,frequency,frequency %
architects,4604,14.861680493237355
design,3306,10.671745375899803
architecture,2952,9.529035798444108
inc,2123,6.85302947157752
studio,1645,5.310048742696665
ltd,1420,4.583750282449401
llc,1218,3.9316956648051904
associates,1045,3.373252848703961
group,1019,3.2893250266309435
arquitectura,673,2.172439394428484
planning,493,1.5914006262306724
arquitetura,481,1.5526647083508183
arquitectos,469,1.5139287904709642
architectural,416,1.3428451531682752
landscape,398,1.2847412763484942
engineering,372,1.200813454275477
consulting,364,1.1749895090222409
architect,338,1.0910616869492236
interiors,323,1.042641789599406
srl,314,1.0135898511895154
limited,305,0.9845379127796249
architecten,299,0.9651699538396978
pc,286,0.9232060428031893
interior,265,0.8554181865134446
consultants,261,0.8425062138868266
urban,251,0.8102262823202815
partners,245,0.7908583233803544
architectes,229,0.7392104328738823
atelier,208,0.6714225765841376
gmbh,208,0.6714225765841376
designs,200,0.6455986313309016
llp,191,0.616546692921011
solutions,188,0.6068627134510475
international,186,0.6004067271377385
services,181,0.584266761354466
pllc,181,0.584266761354466
engineers,180,0.5810387681978114
bv,170,0.5487588366312663
estudio,167,0.5390748571613028
arkitekter,165,0.5326188708479938
mimarlk,164,0.5293908776913393
pvt,161,0.5197068982213757
building,158,0.5100229187514123
lighting,153,0.4938829529681397
office,145,0.46805900771490366
ab,141,0.45514703508828563
co,138,0.4454630556183221
planners,137,0.4422350624616676
pty,135,0.4357790761483586
van,134,0.4325510829917041
sl,134,0.4325510829917041
studios,132,0.42609509667839507
architekten,128,0.413183124051777
development,126,0.40672713773846797
ag,125,0.40349914458181346
company,119,0.3841311856418864
project,118,0.3809031924852319
architectuur,116,0.3744472061719229
architettura,112,0.36153523354530487
slp,110,0.35507924723199585
partnership,103,0.3324832951354143
construction,99,0.3195713225087963
green,99,0.3195713225087963
di,94,0.30343135672552374
,93,0.30020336356886923
management,90,0.2905193840989057
designers,90,0.2905193840989057
ltda,90,0.2905193840989057
pa,89,0.2872913909422512
architetti,88,0.2840633977855967
arquitetos,88,0.2840633977855967
collaborative,86,0.2776074114722877
home,85,0.2743794183156332
3d,79,0.25501145937570613
build,76,0.2453274799057426
space,76,0.2453274799057426
consultancy,73,0.23564350043577909
urbanismo,73,0.23564350043577909
systems,70,0.22595952096581556
diseo,70,0.22595952096581556
associati,70,0.22595952096581556
smith,69,0.22273152780916106
bureau,68,0.21950353465250655
workshop,68,0.21950353465250655
land,67,0.21627554149585204
projects,67,0.21627554149585204
grupo,66,0.21304754833919753
lda,63,0.20336356886923398
lab,62,0.20013557571257948
concept,61,0.19690758255592497
creative,60,0.19367958939927046
house,60,0.19367958939927046
proyectos,60,0.19367958939927046
david,59,0.19045159624261596
bim,58,0.18722360308596145
new,56,0.18076761677265243
aia,55,0.17753962361599793
corporation,55,0.17753962361599793
institute,53,0.1710836373026889
john,51,0.1646276509893799
