word,frequency,frequency %
auto,2386,7.724682724682725
inc,2213,7.164594664594665
ltd,1911,6.186868686868687
automotive,1586,5.134680134680135
group,1368,4.428904428904429
llc,987,3.1954156954156954
car,909,2.9428904428904428
motors,699,2.263014763014763
limited,614,1.9878269878269879
motor,503,1.6284641284641284
gmbh,501,1.621989121989122
co,450,1.456876456876457
service,432,1.3986013986013985
ford,428,1.3856513856513857
bv,378,1.2237762237762237
srl,367,1.1881636881636881
company,365,1.1816886816886818
services,357,1.1557886557886559
solutions,355,1.1493136493136493
cars,354,1.1460761460761462
parts,345,1.1169386169386168
toyota,341,1.103988603988604
sales,321,1.0392385392385393
chevrolet,319,1.0327635327635327
engineering,300,0.9712509712509713
center,293,0.9485884485884486
tire,277,0.8967883967883968
international,273,0.8838383838383839
repair,266,0.8611758611758612
industries,245,0.7931882931882932
truck,243,0.7867132867132867
products,242,0.7834757834757835
systems,241,0.7802382802382802
performance,234,0.7575757575757576
honda,229,0.7413882413882414
vehicle,229,0.7413882413882414
collision,227,0.7349132349132349
ab,223,0.7219632219632219
spa,220,0.7122507122507122
racing,212,0.6863506863506863
ltda,210,0.6798756798756799
pvt,209,0.6766381766381766
technologies,204,0.6604506604506605
corporation,202,0.6539756539756539
body,186,0.6021756021756022
manufacturing,181,0.5859880859880859
dealer,168,0.5439005439005439
motorsports,167,0.5406630406630407
bmw,165,0.5341880341880342
fleet,162,0.5244755244755245
garage,161,0.5212380212380212
chrysler,160,0.518000518000518
care,158,0.5115255115255115
sl,155,0.5018130018130018
technology,153,0.49533799533799533
dodge,153,0.49533799533799533
otomotiv,146,0.47267547267547266
nissan,145,0.46943796943796945
van,145,0.46943796943796945
coltd,145,0.46943796943796945
america,140,0.45325045325045327
leasing,140,0.45325045325045327
jeep,139,0.45001295001295
buick,139,0.45001295001295
consulting,138,0.4467754467754468
mercedesbenz,137,0.4435379435379435
hyundai,136,0.4403004403004403
uk,136,0.4403004403004403
grupo,135,0.4370629370629371
pty,133,0.4305879305879306
gmc,131,0.4241129241129241
usa,128,0.4144004144004144
glass,126,0.40792540792540793
electric,125,0.40468790468790466
mobile,124,0.40145040145040145
volkswagen,123,0.39821289821289824
north,123,0.39821289821289824
equipment,123,0.39821289821289824
vehicles,121,0.39173789173789175
city,121,0.39173789173789175
rent,119,0.38526288526288527
lincoln,119,0.38526288526288527
automobile,113,0.3658378658378658
india,112,0.3626003626003626
team,112,0.3626003626003626
detailing,112,0.3626003626003626
centre,109,0.3528878528878529
san,107,0.3464128464128464
management,106,0.34317534317534315
kia,105,0.33993783993783994
corp,104,0.3367003367003367
association,103,0.33346283346283345
audi,101,0.32698782698782697
enterprises,100,0.32375032375032375
ag,97,0.31403781403781406
europe,97,0.31403781403781406
wash,97,0.31403781403781406
american,96,0.3108003108003108
shop,96,0.3108003108003108
global,94,0.3043253043253043
