word,frequency,frequency %
inc,8123,9.942837558294674
software,5866,7.180190215062977
ltd,4776,5.845991896887279
solutions,4531,5.546103284086319
llc,3828,4.685606570620708
technologies,3472,4.249850055693599
systems,2535,3.102929116124215
limited,1503,1.8397248368973156
pvt,1450,1.7748509737199651
technology,1401,1.7148732511597733
consulting,1327,1.6242946497423405
gmbh,1164,1.4247769195931308
group,1074,1.3146137557070638
labs,848,1.0379818108376073
corporation,843,1.0318616350661591
srl,822,1.0061568968260768
services,778,0.9522993500373331
data,652,0.7980709205968396
digital,640,0.7833824987453639
business,626,0.7662460065853092
development,601,0.7356451277280683
ab,590,0.7221807410308824
web,472,0.5777445928247059
tech,445,0.5446956436588859
private,430,0.5263351163445414
bv,399,0.48839002656156283
media,387,0.47370160471008727
sistemas,385,0.471253534401508
company,384,0.4700294992472184
international,382,0.46758142893863913
mobile,379,0.46390932347577024
management,376,0.46023721801290135
pty,369,0.4516689719328739
design,352,0.43086037430995017
computer,350,0.4284123040013709
ag,330,0.4039316009155783
co,326,0.3990354602984198
information,319,0.39046721421839237
studio,303,0.37088265174975826
interactive,301,0.36843458144117897
corp,298,0.3647624759783101
solution,297,0.3635384408240205
app,296,0.36231440566973083
global,294,0.3598663353611516
studios,292,0.3574182650525723
apps,266,0.3255933510410419
yazlm,255,0.31212896434385595
analytics,255,0.31212896434385595
ltda,253,0.3096808940352767
infotech,253,0.3096808940352767
soft,251,0.3072328237266974
oy,248,0.3035607182638285
cloud,248,0.3035607182638285
tecnologia,238,0.2913203667209322
engineering,227,0.2778559800237463
system,218,0.2668396636351396
sl,213,0.2607194878636914
code,211,0.2582714175551122
associates,199,0.24358299570363662
innovations,191,0.23379071446931957
sp,189,0.2313426441607403
z,188,0.23011860900645068
aps,187,0.22889457385216103
sas,186,0.2276705386978714
india,183,0.22399843323500251
lab,181,0.22155036292642324
creative,181,0.22155036292642324
informtica,177,0.21665422230926473
biliim,172,0.21053404653781657
oo,168,0.20563790592065803
smart,166,0.2031898356120788
computing,166,0.2031898356120788
,161,0.19706965984063063
solues,161,0.19706965984063063
intelligence,154,0.1885014137606032
blue,152,0.18605334345202396
network,143,0.17503702706341726
research,143,0.17503702706341726
health,141,0.17258895675483799
partners,141,0.17258895675483799
doo,139,0.17014088644625874
one,134,0.16402071067481058
crm,133,0.16279667552052096
enterprises,131,0.1603486052119417
online,131,0.1603486052119417
networks,131,0.1603486052119417
logic,130,0.15912457005765204
sro,126,0.15422842944049353
innovation,125,0.1530043942862039
applications,125,0.1530043942862039
consultants,125,0.1530043942862039
automation,121,0.14810825366904537
new,116,0.1419880778975972
consultancy,115,0.1407640427433076
uk,114,0.13954000758901797
enterprise,114,0.13954000758901797
vision,113,0.13831597243472832
project,113,0.13831597243472832
llp,113,0.13831597243472832
red,109,0.1334198318175698
