word,frequency,frequency %
inc,13776,17.028640650687894
construction,9317,11.516829627065848
ltd,7096,8.771431043647016
llc,5754,7.112572466903176
group,3247,4.013646645817625
services,3235,3.9988133351462936
company,2497,3.086564728859442
limited,2022,2.4994128481192597
co,1665,2.058121855647165
builders,1474,1.8220249941284812
solutions,1457,1.8010111373440958
building,1439,1.7787611713370994
contracting,1433,1.7713445160014338
roofing,1385,1.7120112733161101
homes,1357,1.6774002150830047
contractors,1221,1.509289360807921
electric,1194,1.4759144117974263
systems,1174,1.4511922273452083
design,1047,1.2942063560736226
bv,1027,1.2694841716214045
engineering,954,1.179248198370808
pty,941,1.1631787784768661
srl,937,1.1582343415864225
home,855,1.056873385332328
management,772,0.9542763198556224
electrical,759,0.9382068999616806
corporation,750,0.9270819169581824
restoration,732,0.9048319509511861
consulting,720,0.8899986402798551
mechanical,712,0.8801097664989679
plumbing,700,0.8652764558276369
concrete,676,0.8356098344849751
corp,638,0.7886376840257605
heating,633,0.782457137912706
sl,617,0.7626793903509315
associates,606,0.7490821889022115
painting,576,0.7119989122238841
air,552,0.6823322908812223
development,546,0.6749156355455568
ltda,541,0.6687350894325023
custom,541,0.6687350894325023
ab,525,0.6489573418707277
general,508,0.6279434850863422
service,503,0.6217629389732877
steel,474,0.5859157715175712
fire,460,0.5686102424010185
international,435,0.5377075118357458
grupo,415,0.5129853273835276
industrial,415,0.5129853273835276
landscape,395,0.4882631429313094
engenharia,394,0.4870270337086985
projects,391,0.4833187060408658
enterprises,388,0.47961037837303305
industries,380,0.4697215045921458
remodeling,373,0.4610687400338694
project,365,0.4511798662529821
companies,361,0.44623542936253846
commercial,355,0.438818774026873
equipment,354,0.4375826648042621
products,346,0.42769379102337485
interiors,343,0.4239854633555421
flooring,342,0.4227493541329312
landscaping,331,0.4091521526842112
uk,330,0.40791604346160026
build,329,0.40667993423898935
consultants,327,0.4042077157937675
energy,326,0.4029716065711566
property,323,0.3992632789033239
gmbh,313,0.3869021866772148
metal,312,0.3856660774546039
stone,306,0.3782494221189384
van,301,0.3720688760058839
american,289,0.357235565334553
inaat,284,0.3510550192214984
association,284,0.3510550192214984
safety,280,0.3461105823310548
glass,276,0.34116614544061113
protection,275,0.3399300362180002
green,274,0.3386939269953893
constructions,267,0.33004116243711296
maintenance,265,0.3275689439918911
pvt,264,0.3263328347692802
supply,264,0.3263328347692802
conditioning,262,0.3238606163240584
door,257,0.31768007021100386
construcciones,253,0.3127356333205602
new,251,0.3102634148753384
sons,249,0.30779119643011654
construtora,249,0.30779119643011654
constructora,245,0.30284675953967294
technologies,244,0.301610650317062
cv,240,0.29666621342661836
windows,239,0.29543010420400745
brothers,238,0.29419399498139653
sas,235,0.29048566731356384
engineers,229,0.28306901197789835
paving,228,0.28183290275528744
works,226,0.2793606843100656
exteriors,213,0.2632912644161238
constructors,213,0.2632912644161238
