word,frequency,frequency %
school,4286,11.22459668971297
education,2463,6.450345694531741
academy,1965,5.146134506599623
ltd,1502,3.933584747538236
college,1329,3.4805153991200504
institute,1313,3.4386130316362875
training,1307,3.422899643829876
inc,1286,3.367902786507438
international,1224,3.2055311125078565
learning,1199,3.1400586633144774
center,983,2.574376702283679
llc,768,2.011313639220616
group,688,1.8018018018018018
language,659,1.7258537607374818
services,630,1.6499057196731615
schools,603,1.5791954745443118
english,594,1.5556253928346953
business,581,1.5215797192541378
consulting,543,1.422061596480201
solutions,539,1.4115860046092603
foundation,517,1.3539702493190866
management,514,1.346113555415881
educational,507,1.3277812696417348
university,497,1.301592289964383
district,433,1.1339828200293316
pvt,433,1.1339828200293316
limited,417,1.0920804525455687
global,407,1.065891472868217
high,406,1.0632725749004819
association,406,1.0632725749004819
centre,390,1.021370207416719
technology,340,0.8904253090299602
development,338,0.8851875130944898
st,285,0.7463859208045255
christian,282,0.73852922690132
new,278,0.7280536350303792
montessori,274,0.7175780431594385
charter,261,0.6835323695788812
community,246,0.6442489000628535
american,235,0.6154410224177667
tutoring,235,0.6154410224177667
network,217,0.5683008589985334
leadership,209,0.547349675256652
public,208,0.5447307772889168
national,207,0.5421118793211817
kids,203,0.5316362874502409
career,199,0.5211606955793002
project,191,0.5002095118374188
consultancy,189,0.49497171590194844
india,181,0.47402053216006707
study,181,0.47402053216006707
,178,0.46616383825686153
pty,177,0.46354494028912635
private,173,0.45306934841818564
student,172,0.45045045045045046
science,166,0.4347370626440394
consultants,160,0.4190236748376283
county,159,0.41640477686989313
trust,159,0.41640477686989313
skills,158,0.41378587890215796
day,155,0.4059291849989524
eitim,155,0.4059291849989524
world,154,0.40331028703121724
prep,152,0.3980724910957469
house,147,0.38497800125707105
instituto,144,0.3771213073538655
idiomas,141,0.36926461345066
city,139,0.3640268175151896
centro,139,0.3640268175151896
child,139,0.3640268175151896
council,135,0.3535512256442489
studies,134,0.3509323276765137
australia,133,0.34831342970877854
ab,132,0.34569453174104336
coaching,132,0.34569453174104336
engineering,130,0.340456735805573
care,130,0.340456735805573
early,127,0.33260004190236747
company,127,0.33260004190236747
arts,126,0.3299811439346323
gmbh,126,0.3299811439346323
catholic,124,0.32474334799916194
research,122,0.3195055520636916
uk,122,0.3195055520636916
youth,122,0.3195055520636916
london,121,0.3168866540959564
knowledge,121,0.3168866540959564
professional,120,0.3142677561282212
tutors,120,0.3142677561282212
associates,120,0.3142677561282212
preschool,120,0.3142677561282212
academic,117,0.30641106222501574
alliance,116,0.30379216425728056
program,114,0.2985543683218102
society,114,0.2985543683218102
first,113,0.295935470354075
languages,112,0.29331657238633985
technologies,110,0.2880787764508695
canada,108,0.28284098051539913
valley,108,0.28284098051539913
