word,frequency,frequency %
financial,7399,11.614108339742886
llc,5640,8.853030279247179
capital,4730,7.424615819297722
inc,4643,7.288053118181676
group,4481,7.033763950586278
ltd,3662,5.748190936631767
management,3538,5.553549845385907
services,3340,5.242751973880421
wealth,2727,4.280534321189195
finance,2261,3.549060542797495
solutions,1906,2.9918219347952344
advisors,1895,2.9745553863782628
partners,1870,2.935313230885146
limited,1750,2.746950884518185
mortgage,1609,2.525625127537005
credit,1576,2.4738254822860912
consulting,1267,1.9887924403911659
investment,993,1.5586984161866042
associates,834,1.3091183072503807
business,832,1.3059789348109312
planning,823,1.2918517588334093
union,804,1.2620277206586403
company,770,1.2086583891880014
asset,766,1.2023796443091026
corporation,686,1.0768047467311284
pty,651,1.0218657290407647
advisory,635,0.99675074952517
funding,621,0.9747751424490244
global,612,0.9606479664715023
private,502,0.7879824823017879
bv,500,0.7848431098623385
investments,497,0.7801340512031645
co,459,0.7204859748536268
international,454,0.7126375437550033
corp,444,0.6969406815577566
first,439,0.6890922504591332
lending,439,0.6890922504591332
bank,438,0.6875225642394085
consultants,413,0.6482804087462917
securities,409,0.6420016638673929
llp,401,0.6294441741095955
money,380,0.5964807634953773
ag,380,0.5964807634953773
pvt,378,0.5933413910559279
gmbh,371,0.5823535875178552
insurance,365,0.5729354701995071
tax,349,0.5478204906839123
home,345,0.5415417458050136
fund,341,0.5352630009261149
federal,337,0.5289842560472162
strategies,335,0.5258448836077668
loans,328,0.5148570800696941
retirement,315,0.49445115921327326
trust,314,0.49288147299354856
corporate,308,0.48346335567520055
payment,291,0.456778689939881
network,291,0.456778689939881
trading,290,0.4552090037201563
commercial,285,0.44736057262153295
systems,278,0.43637276908346023
exchange,278,0.43637276908346023
merchant,269,0.4222455931059381
national,264,0.41439716200731475
american,253,0.3971306135903433
research,253,0.3971306135903433
payments,247,0.3877124962719952
equity,238,0.3735853202944731
srl,237,0.37201563407474847
leasing,235,0.36887626163529913
ab,227,0.35631877187750166
technologies,226,0.354749085657777
loan,223,0.350040026998603
community,223,0.350040026998603
new,219,0.34376128211970425
service,217,0.3406219096802549
markets,216,0.33905222346053027
association,208,0.3264947337027328
life,203,0.3186463026041094
uk,196,0.3076584990660367
debt,188,0.2951010093082393
street,184,0.28882226442934056
alliance,181,0.2841132057701665
holdings,176,0.27626477467154315
one,173,0.2715557160123691
family,172,0.26998602979264447
risk,171,0.26841634357291977
accountants,167,0.2621375986940211
development,166,0.2605679124742964
brokers,162,0.25428916759539766
recovery,161,0.252719481375673
ventures,161,0.252719481375673
invest,160,0.2511497951559483
spa,158,0.24801042271649898
strategic,153,0.24016199161787558
consultancy,153,0.24016199161787558
resources,148,0.2323135605192522
independent,145,0.22760450186007816
advisers,145,0.22760450186007816
pension,145,0.22760450186007816
mortgages,144,0.2260348156403535
