word,frequency,frequency %
inc,1499,4.661504493578381
ltd,1488,4.627297322511429
company,1426,4.434493267406785
food,1303,4.051994900021768
llc,1277,3.971141586590789
coffee,1265,3.9338246726995676
foods,1080,3.3585222502099077
co,837,2.6028547439126783
brewing,826,2.568647572845726
catering,749,2.3291973753770563
group,577,1.7943216096028858
limited,455,1.414932985042137
srl,412,1.2812140435985944
tea,364,1.1319463880337095
bar,349,1.0853002456696832
sl,331,1.0293248748328514
restaurant,326,1.0137761607115092
international,310,0.9640202755232142
gourmet,309,0.9609105326989458
cafe,303,0.9422520757533352
brewery,300,0.9329228472805299
pvt,270,0.8396305625524769
kitchen,247,0.768106477594303
beer,229,0.7121311067574712
bakery,228,0.7090213639332027
services,223,0.6934726498118605
beverage,220,0.6841434213390553
water,210,0.6530459930963709
wine,205,0.6374972789750287
bv,188,0.5846316509624654
roasters,184,0.5721926796653917
alimentos,181,0.5628634511925864
solutions,171,0.531766022949902
gmbh,170,0.5286562801256336
market,168,0.5224367944770968
pizza,160,0.4975588518829493
vending,160,0.4975588518829493
beverages,159,0.49444910905868084
ice,159,0.49444910905868084
fresh,157,0.488229623410144
house,157,0.488229623410144
products,156,0.4851198805858756
ltda,156,0.4851198805858756
service,154,0.47890039493733866
trading,154,0.47890039493733866
caf,148,0.4602419379917281
grupo,141,0.43847373822184904
natural,139,0.4322542525733122
fine,133,0.4135957956277016
good,133,0.4135957956277016
organic,130,0.4042665671548963
club,129,0.4011568243306279
brands,128,0.3980470815063594
corporation,127,0.39493733868209097
spa,127,0.39493733868209097
drinks,127,0.39493733868209097
juice,124,0.3856081102092857
sweet,122,0.37938862456074884
ab,120,0.373169138912212
chef,118,0.36694965326367507
consulting,115,0.3576204247908698
marketing,113,0.35140093914233295
craft,112,0.3482911963180645
chocolate,109,0.33896196784525917
new,108,0.33585222502099077
cream,104,0.32341325372391705
global,100,0.3109742824268433
pty,99,0.30786453960257487
grill,99,0.30786453960257487
spirits,96,0.29853531112976955
green,96,0.29853531112976955
events,95,0.29542556830550115
shop,95,0.29542556830550115
city,94,0.2923158254812327
produce,93,0.2892060826569643
sales,92,0.28609633983269583
cakes,92,0.28609633983269583
chocolates,91,0.2829865970084274
culinary,91,0.2829865970084274
uk,90,0.279876854184159
hospitality,88,0.2736573685356221
brew,85,0.2643281400628168
private,85,0.2643281400628168
sas,83,0.25810865441427994
foodservice,82,0.2549989115900115
ingredients,82,0.2549989115900115
,81,0.2518891687657431
usa,81,0.2518891687657431
blue,81,0.2518891687657431
delivery,80,0.24877942594147465
distillery,79,0.24566968311720622
organics,78,0.2425599402929378
corp,78,0.2425599402929378
wines,78,0.2425599402929378
taste,78,0.2425599402929378
industries,75,0.23323071182013247
cv,75,0.23323071182013247
casa,74,0.23012096899586404
india,74,0.23012096899586404
di,74,0.23012096899586404
