word,frequency,frequency %
health,3415,6.395131086142322
fitness,2911,5.451310861423221
inc,2636,4.936329588014981
llc,2420,4.531835205992509
wellness,2026,3.7940074906367043
center,1646,3.0823970037453186
ltd,1400,2.6217228464419478
yoga,1205,2.256554307116105
therapy,1145,2.144194756554307
spa,995,1.8632958801498127
care,980,1.8352059925093633
chiropractic,847,1.5861423220973783
dental,775,1.451310861423221
training,760,1.4232209737827715
life,750,1.404494382022472
massage,749,1.402621722846442
medical,699,1.3089887640449438
nutrition,686,1.2846441947565543
clinic,682,1.2771535580524345
studio,665,1.2453183520599251
group,626,1.1722846441947565
centre,608,1.1385767790262171
body,596,1.1161048689138577
solutions,584,1.0936329588014981
physical,583,1.091760299625468
services,556,1.0411985018726593
club,508,0.951310861423221
sports,476,0.8913857677902621
fit,469,0.8782771535580525
performance,438,0.8202247191011236
foundation,421,0.7883895131086143
international,413,0.7734082397003745
family,412,0.7715355805243446
institute,398,0.7453183520599251
crossfit,397,0.7434456928838952
personal,392,0.7340823970037453
healthcare,375,0.702247191011236
pilates,365,0.6835205992509363
limited,341,0.6385767790262172
home,339,0.6348314606741573
healing,315,0.5898876404494382
association,314,0.5880149812734082
clnica,311,0.5823970037453183
beauty,303,0.5674157303370787
healthy,298,0.5580524344569289
centro,297,0.5561797752808989
coaching,291,0.5449438202247191
medicine,287,0.5374531835205992
new,287,0.5374531835205992
natural,286,0.5355805243445693
arts,285,0.5337078651685393
physiotherapy,268,0.50187265917603
salon,268,0.50187265917603
living,260,0.4868913857677903
community,246,0.4606741573033708
consulting,238,0.44569288389513106
company,235,0.4400749063670412
gym,233,0.4363295880149813
academy,229,0.4288389513108614
mind,200,0.37453183520599254
sade,199,0.37265917602996257
recovery,197,0.36891385767790263
management,192,0.3595505617977528
co,191,0.35767790262172283
skin,191,0.35767790262172283
products,190,0.35580524344569286
srl,189,0.3539325842696629
network,185,0.3464419475655431
day,182,0.3408239700374532
systems,180,0.33707865168539325
gmbh,178,0.3333333333333333
rehab,176,0.3295880149812734
pvt,174,0.3258426966292135
balance,174,0.3258426966292135
associates,173,0.32397003745318353
pty,173,0.32397003745318353
hair,172,0.32209737827715357
rehabilitation,166,0.31086142322097376
dr,166,0.31086142322097376
dentistry,166,0.31086142322097376
uk,165,0.3089887640449438
global,164,0.30711610486891383
holistic,164,0.30711610486891383
sport,162,0.30337078651685395
cancer,157,0.2940074906367041
project,156,0.29213483146067415
city,156,0.29213483146067415
centers,155,0.2902621722846442
martial,154,0.2883895131086142
sl,153,0.28651685393258425
lifestyle,147,0.2752808988764045
american,144,0.2696629213483146
labs,143,0.26779026217228463
salud,143,0.26779026217228463
weight,140,0.26217228464419473
house,140,0.26217228464419473
active,139,0.2602996254681648
wellbeing,139,0.2602996254681648
physio,137,0.2565543071161049
technologies,136,0.2546816479400749
