word,frequency,frequency %
health,3724,9.96014870683891
care,3175,8.491802401775923
inc,3068,8.205621974377491
medical,2404,6.42969857444703
llc,2035,5.442777287437481
healthcare,1921,5.137874776003637
center,1706,4.562839337773142
hospital,1572,4.204445157666694
services,1527,4.084088903153334
home,1505,4.025248067613469
ltd,1075,2.875177191152478
solutions,1052,2.813661772178983
group,1041,2.7842413544090507
dental,822,2.1985075824440345
community,601,1.6074246436117574
clinic,574,1.5352108909037416
hospice,553,1.4790446387975074
management,490,1.3105458824788039
consulting,483,1.2918237984433925
therapy,443,1.184840461098184
associates,441,1.1794912942309235
senior,421,1.1259996255583193
living,401,1.072507956885715
association,386,1.0323892053812618
institute,376,1.0056433710449597
foundation,362,0.9681992029741368
centre,350,0.9361042017705742
family,337,0.9013346171333815
limited,325,0.8692396159298189
partners,315,0.8424937815935168
network,314,0.8398191981598866
systems,297,0.794351279788173
international,296,0.7916766963545427
st,266,0.7114391933456364
nursing,246,0.6579475246730322
medicine,236,0.63120169033673
centers,232,0.6205033566022092
surgery,230,0.6151541897349487
new,229,0.6124796063013186
pvt,223,0.5964321056995373
rehabilitation,223,0.5964321056995373
county,217,0.580384605097756
system,211,0.5643371044959747
service,210,0.5616625210623445
regional,206,0.5509641873278237
bv,205,0.5482896038941935
memorial,200,0.5349166867260424
physical,192,0.5135200192570007
american,191,0.5108454358233705
recovery,186,0.49747251865521946
valley,185,0.4947979352215892
eye,181,0.4840996014870684
homecare,177,0.47340126775254754
life,170,0.45467918371713606
alliance,170,0.45467918371713606
society,169,0.45200460028350586
dentistry,169,0.45200460028350586
corporation,168,0.4493300168498756
clinical,168,0.4493300168498756
clnica,167,0.4466554334162454
ambulance,158,0.4225841825135735
research,155,0.41456043221268285
national,154,0.41188584877905265
consultants,153,0.40921126534542246
rehab,149,0.3985129316109016
billing,148,0.39583834817727137
cancer,146,0.390489181310011
company,146,0.390489181310011
advanced,142,0.37979084757549014
quality,141,0.3771162641418599
technologies,141,0.3771162641418599
surgical,139,0.3717670972745995
ab,139,0.3717670972745995
imaging,139,0.3717670972745995
urgent,139,0.3717670972745995
pediatric,139,0.3717670972745995
practice,137,0.36641793040733905
global,136,0.36374334697370886
hospitals,135,0.3610687635400786
trust,135,0.3610687635400786
north,135,0.3610687635400786
emergency,134,0.3583941801064484
dr,130,0.3476958463719276
house,130,0.3476958463719276
physicians,129,0.3450212629382974
pc,128,0.34234667950466713
centro,124,0.3316483457701463
nhs,122,0.3262991789028859
childrens,122,0.3262991789028859
diagnostics,121,0.32362459546925565
south,121,0.32362459546925565
staffing,121,0.32362459546925565
private,120,0.32095001203562545
specialists,120,0.32095001203562545
central,119,0.31827542860199526
first,118,0.315600845168365
stichting,118,0.315600845168365
city,115,0.30757709486747437
resources,114,0.30490251143384417
heart,114,0.30490251143384417
