word,frequency,frequency %
solutions,16196,8.033371526072745
ltd,15416,7.646484035930936
inc,14636,7.259596545789126
technologies,9984,4.952159873815157
llc,9331,4.628265603222078
consulting,7870,3.903595573610305
technology,6482,3.2151342449989833
services,5833,2.893224012816888
pvt,5557,2.7563253624590174
group,5339,2.648195269060409
limited,5219,2.5886741167308998
systems,5066,2.512784647510776
software,4254,2.1100248500810976
gmbh,3325,1.649231929130148
srl,3222,1.5981429400473193
business,2534,1.2568883333581338
digital,2506,1.2430000644812484
data,2113,1.0480682906021062
tech,1992,0.988051128669851
web,1950,0.9672187253545229
computer,1829,0.9072015634222679
pty,1787,0.8863691601069397
information,1673,0.8298240653939061
private,1638,0.8124637292977992
ab,1588,0.7876632491605038
bv,1565,0.7762550282973478
global,1494,0.7410383465023883
tecnologia,1401,0.6949094534470187
media,1393,0.6909413766250515
corporation,1382,0.6854852709948465
infotech,1179,0.5847953216374269
ag,1082,0.5366823901710737
network,1078,0.5346983517600901
management,1066,0.5287462365271391
networks,1062,0.5267621981161555
company,1014,0.5029537371843519
design,996,0.4940255643349255
international,992,0.4920415259239419
solution,977,0.48460138188275326
ltda,968,0.48013729545804007
co,917,0.4548408057179987
cloud,905,0.4488886904850478
labs,905,0.4488886904850478
sl,875,0.4340084024026705
development,864,0.42855229677246554
oy,817,0.4052398454434078
india,795,0.39432763418299777
partners,764,0.3789513364978746
solues,756,0.37498325967590734
sistemas,704,0.3491907603331201
informtica,698,0.3462147027166446
security,697,0.3457186931138987
corp,688,0.3412546066891855
consultancy,680,0.33728652986721824
service,662,0.32835835701779187
communications,655,0.3248862897985705
consultants,624,0.3095099921134473
associates,621,0.3080219633052096
sro,608,0.30157383846951274
system,591,0.2931416752228323
sas,587,0.2911576368118487
mobile,581,0.28818157919537324
smart,549,0.27230927190750415
studio,549,0.27230927190750415
consultoria,543,0.2693332142910287
computers,541,0.26834119508553683
ict,539,0.26734917588004503
analytics,530,0.26288508945533184
pt,525,0.2604050414416023
interactive,525,0.2604050414416023
support,493,0.24453273415373322
marketing,492,0.2440367245509873
enterprise,479,0.23758859971529048
soluciones,476,0.23610057090705275
llp,474,0.23510855170156095
engineering,470,0.23312451329057732
informatica,465,0.23064446527684776
center,450,0.22320432123565911
,444,0.22022826361918366
creative,440,0.21824422520820003
new,438,0.21725220600270823
intelligence,436,0.2162601867972164
uk,433,0.21477215798897867
internet,427,0.2117961003725032
cv,427,0.2117961003725032
computing,422,0.20931605235877365
innovation,421,0.20882004275602775
spa,420,0.20832403315328185
innovations,418,0.20733201394779002
z,418,0.20733201394779002
bhd,416,0.20633999474229822
sp,415,0.2058439851395523
sdn,414,0.2053479755368064
blue,414,0.2053479755368064
technical,411,0.20385994672856866
grupo,409,0.20286792752307684
soft,399,0.19790783149561775
online,389,0.19294773546815866
info,385,0.19096369705717503
enterprises,384,0.19046768745442913
