word,frequency,frequency %
inc,4016,5.2769893829496475
web,2771,3.641070114580048
ltd,2434,3.1982550194470725
media,2369,3.112845579732997
llc,2302,3.024808157258488
digital,2217,2.913118889940082
design,1475,1.938137285819405
solutions,1435,1.8855776306107432
gmbh,1219,1.6017554924839692
internet,1197,1.5728476821192052
marketing,1170,1.5373699148533586
group,1040,1.3665510354252075
technologies,728,0.9565857247976454
limited,676,0.888258173026385
interactive,676,0.888258173026385
online,663,0.8711762850835698
studio,624,0.8199306212551246
services,599,0.787080836749711
srl,591,0.7765689057079785
agency,566,0.7437191212025649
consulting,553,0.7266372332597498
creative,466,0.6123199831809103
bv,435,0.5715862503941974
social,427,0.5610743193524651
labs,413,0.5426784400294334
development,404,0.5308525176074845
pvt,402,0.5282245348470515
sl,382,0.5019447072427204
network,367,0.4822348365394723
seo,366,0.48092084515925576
technology,356,0.4677809313570903
business,335,0.4401871123725428
co,317,0.416535267528645
company,311,0.4086513192473457
software,310,0.4073373278671292
ab,281,0.36923157784084937
studios,280,0.36791758646063283
,273,0.358719646799117
hosting,241,0.3166719226321875
designs,230,0.30221801744980553
networks,224,0.29433406916850624
ag,216,0.28382213812677387
ventures,210,0.27593818984547464
global,209,0.27462419846525804
corporation,208,0.2733102070850415
agence,206,0.2706822243246084
systems,201,0.2641122674235257
app,196,0.257542310522443
tech,196,0.257542310522443
new,195,0.25622831914222644
ecommerce,191,0.2509723536213602
mobile,190,0.2496583622411437
website,190,0.2496583622411437
communications,189,0.24834437086092714
corp,182,0.23914643119941134
net,176,0.23126248291811205
pty,167,0.21943656049616314
agncia,165,0.21680857773573006
international,163,0.21418059497529696
webdesign,160,0.21023862083464734
lab,144,0.1892147587511826
websites,143,0.18790076737096606
communication,142,0.1865867759907495
private,140,0.18395879323031641
sas,139,0.18264480185009987
blue,133,0.17476085356880058
cloud,131,0.1721328708083675
commerce,130,0.17081887942815094
multimedia,125,0.16424892252706821
red,124,0.16293493114685167
oy,122,0.1603069483864186
one,120,0.1576789656259855
enterprises,116,0.1524230001051193
data,113,0.14848102596446966
virtual,112,0.14716703458425312
search,111,0.14585304320403658
uk,110,0.14453905182382004
world,108,0.14191106906338694
partners,108,0.14191106906338694
smart,107,0.1405970776831704
india,105,0.13796909492273732
z,105,0.13796909492273732
local,104,0.13665510354252075
aps,104,0.13665510354252075
sp,103,0.1353411121623042
productions,98,0.1287711552612215
service,97,0.12745716388100495
startup,94,0.1235151897403553
management,94,0.1235151897403553
code,94,0.1235151897403553
sro,93,0.12220119836013876
factory,90,0.11825922421948912
pixel,90,0.11825922421948912
oo,88,0.11563124145905603
big,88,0.11563124145905603
ltda,85,0.1116892673184064
site,84,0.11037527593818984
project,83,0.1090612845579733
solues,82,0.10774729317775675
grupo,79,0.10380531903710712
