word,frequency,frequency %
law,9623,30.765050033568848
llp,3415,10.917868218293425
pc,2726,8.715112375715336
llc,2670,8.536078519134243
firm,2547,8.142843441286486
pllc,2105,6.729754787557147
group,1491,4.766776431471595
office,1320,4.220083762268615
offices,1234,3.945138911090508
associates,1158,3.702164391444739
pa,1106,3.5359186674765817
legal,1069,3.417628440806931
solicitors,858,2.7430544454745998
abogados,846,2.704690047635794
lawyers,695,2.2219380414974905
attorneys,601,1.9214169250935131
advocaten,560,1.7903385658109274
advogados,480,1.5345759135522234
avocats,413,1.320374692285559
co,383,1.224463697688545
ltd,345,1.1029764378656606
partners,338,1.080597205793024
plc,295,0.9431247802039707
inc,264,0.844016752453723
studio,254,0.8120464209213849
corporation,245,0.7832731225422808
family,227,0.7257265257840724
van,225,0.7193324594776048
attorney,224,0.716135426324371
smith,223,0.7129383931711372
legale,222,0.7097413600179033
sc,181,0.5786630007353176
professional,181,0.5786630007353176
asociados,173,0.5530867355094472
brown,166,0.5307075034368106
miller,154,0.49234310559800504
rechtsanwlte,154,0.49234310559800504
immigration,154,0.49234310559800504
johnson,152,0.48594903929153743
associados,152,0.48594903929153743
limited,150,0.4795549729850699
apc,144,0.46037277406566707
ip,138,0.44119057514626425
cabinet,132,0.4220083762268615
center,126,0.4028261773074587
williams,121,0.3868410115412897
david,121,0.3868410115412897
injury,121,0.3868410115412897
services,120,0.38364397838805586
jones,118,0.3772499120815883
r,118,0.3772499120815883
associs,117,0.3740528789283545
hukuk,112,0.3580677131621855
michael,110,0.3516736468557179
business,109,0.3484766137024841
brosu,107,0.3420825473960165
company,106,0.3388855142427827
advocates,106,0.3388855142427827
lpa,105,0.3356884810895489
thomas,101,0.3229003484766137
davis,99,0.3165062821701461
estudio,98,0.3133092490169123
international,98,0.3133092490169123
p,98,0.3133092490169123
cohen,97,0.3101122158636785
james,97,0.3101122158636785
chambers,97,0.3101122158636785
anderson,94,0.3005211164039771
martin,92,0.2941270500975095
john,86,0.27494485117810674
sociedade,86,0.27494485117810674
wilson,85,0.2717478180248729
w,85,0.2717478180248729
scott,84,0.26855078487163914
counsel,84,0.26855078487163914
taylor,83,0.2653537517184053
pl,83,0.2653537517184053
b,81,0.2589596854119377
lee,80,0.2557626522587039
esq,79,0.2525656191054701
robert,75,0.23977748649253494
property,75,0.23977748649253494
white,74,0.23658045333930114
thompson,74,0.23658045333930114
advocacia,74,0.23658045333930114
kelly,73,0.23338342018606734
partner,73,0.23338342018606734
advocatuur,73,0.23338342018606734
association,72,0.23018638703283353
tax,72,0.23018638703283353
associati,68,0.21739825441989832
lewis,67,0.21420122126666455
consultores,64,0.20461012180696314
advokatfirma,63,0.20141308865372934
kancelaria,63,0.20141308865372934
h,63,0.20141308865372934
murphy,62,0.19821605550049554
davocats,62,0.19821605550049554
consulting,62,0.19821605550049554
ps,61,0.19501902234726173
