word,frequency,frequency %
consulting,12637,15.127790746393726
llc,6159,7.372957442987969
group,5850,7.003052612677321
inc,4469,5.349853354881188
ltd,4456,5.334291015741905
management,3995,4.782426527802717
business,3398,4.067756030406416
solutions,3075,3.6810917579457714
services,1940,2.3223798407852994
partners,1890,2.262524690249596
limited,1655,1.981205482731789
associates,1605,1.9213503321960854
consultants,1395,1.6699586999461304
consultoria,1292,1.5466570898425809
gmbh,1228,1.4700424971568804
international,1154,1.381456874364039
srl,1108,1.3263901358711918
consultancy,1028,1.230621895014066
consultores,929,1.1121086969533729
global,923,1.1049260788890884
advisors,816,0.9768360567426827
ab,805,0.9636679236248279
company,773,0.9253606272819777
coaching,768,0.9193751122284073
development,722,0.8643083737355599
advisory,715,0.8559286526605614
pty,699,0.8367750044891363
bv,699,0.8367750044891363
strategy,653,0.781708265996289
marketing,624,0.7469922786855809
leadership,617,0.7386125576105824
performance,537,0.6428443167534567
co,523,0.6260848746034596
strategic,523,0.6260848746034596
sl,485,0.5805949601963248
innovation,484,0.5793978571856109
strategies,483,0.5782007541748968
project,447,0.5351050457891902
pvt,430,0.5147542946070509
conseil,427,0.5111629855749087
empresarial,419,0.5015861614891961
sales,406,0.4860238223499132
training,381,0.4560962470820614
ltda,372,0.44532231998563476
consult,372,0.44532231998563476
consultora,365,0.43694259891063625
executive,358,0.42856287783563773
capital,348,0.41659184772849706
institute,346,0.4141976417070689
growth,342,0.4094092296642126
gesto,325,0.38905847848207337
systems,319,0.3818758604177889
change,316,0.37828455138564676
ag,312,0.37349613934279047
sas,312,0.37349613934279047
grupo,310,0.3711019333213623
corporation,304,0.3639193152570779
corporate,301,0.36032800622493566
oy,299,0.3579338002035075
ventures,287,0.34356856407493863
digital,283,0.33878015203208234
center,280,0.3351888429999401
enterprises,273,0.32680912192494166
safety,270,0.32321781289279944
studio,263,0.3148380918178009
new,257,0.3076554737535165
network,253,0.3028670617106602
technology,240,0.2873047225713773
quality,240,0.2873047225713773
llp,239,0.2861076195606632
people,227,0.27174238343209434
risk,226,0.27054528042138026
analytics,225,0.2693481774106662
media,221,0.2645597653678099
team,219,0.26216555934638175
lean,219,0.26216555934638175
partner,212,0.25378583827138324
private,211,0.25258873526066916
,209,0.250194529239241
value,204,0.24420901418567068
design,202,0.24181480816424253
social,200,0.23942060214281438
blue,192,0.22984377805710182
resources,191,0.22864667504638775
human,189,0.2262524690249596
advies,188,0.22505536601424553
engineering,180,0.21547854192853294
research,178,0.2130843359071048
corp,178,0.2130843359071048
enterprise,178,0.2130843359071048
talent,174,0.20829592386424853
excellence,173,0.20709882085353445
professional,173,0.20709882085353445
technologies,172,0.20590171784282038
health,172,0.20590171784282038
uk,170,0.20350751182139223
service,169,0.20231040881067816
agency,165,0.19752199676782187
asociados,162,0.19393068773567965
smart,161,0.19273358472496557
