word,frequency,frequency %
marketing,20423,13.080849810092936
media,10650,6.8212824010914055
inc,7992,5.118844032819015
llc,6888,4.411736448705878
digital,6828,4.373306688699729
group,6540,4.188843840670215
ltd,4782,3.0628518724900564
creative,4519,2.8944014244631044
agency,4333,2.775269168444043
solutions,3229,2.068161584330906
advertising,3125,2.001550000320248
communications,2960,1.895868160303339
design,2866,1.8356615362937059
social,2457,1.5736986722517918
consulting,2389,1.5301449442448232
studio,1494,0.9569010241531042
services,1469,0.9408886241505422
brand,1469,0.9408886241505422
web,1405,0.8998968801439835
gmbh,1402,0.897975392143676
business,1376,0.8813224961410115
comunicao,1301,0.8332852961333257
communication,1295,0.8294423201327108
limited,1290,0.8262398401321984
company,1137,0.728243952116519
srl,1055,0.6757232801081158
online,1029,0.6590703841054513
interactive,988,0.6328100481012496
co,959,0.6142356640982777
branding,828,0.530330688084853
promotions,809,0.5181612640829057
agncia,800,0.5123968000819835
pvt,734,0.47012406407521984
partners,726,0.4650000960744
comunicacin,712,0.4560331520729653
seo,709,0.45411166407265785
agencia,674,0.4316943040690711
associates,654,0.4188843840670215
network,644,0.4124794240659967
management,642,0.41119843206579176
global,629,0.4028719840644595
studios,625,0.4003100000640496
direct,611,0.3913430560626149
ab,609,0.39006206406240995
international,600,0.3842976000614876
new,597,0.38237611206118016
productions,591,0.3785331360605653
publicidad,553,0.3541942880566711
agence,552,0.3535537920565686
sales,533,0.3413843680546215
blue,515,0.3298554400527769
content,495,0.3170455200507273
pty,489,0.3132025440501124
internet,479,0.30679758404908763
red,471,0.30167361604826776
one,447,0.2863017120458083
bv,440,0.28181824004509093
sl,413,0.26452484804232396
mobile,411,0.26324385604211903
,407,0.2606818720417091
strategy,397,0.2542769120406843
strategies,383,0.2453099680392496
local,381,0.24402897603904464
big,378,0.2421074880387372
ad,370,0.23698352003791737
strategic,360,0.23057856003689256
grupo,349,0.2235331040357653
consultants,348,0.22289260803566283
market,345,0.22097112003535538
oy,337,0.21584715203453556
lab,337,0.21584715203453556
uk,335,0.21456616003433057
signs,335,0.21456616003433057
ideas,331,0.21200417603392066
events,327,0.20944219203351075
consultancy,325,0.2081612000333058
house,323,0.20688020803310084
concepts,317,0.20303723203248597
development,314,0.20111574403217852
collective,309,0.19791326403166612
designs,306,0.19599177603135867
promotional,303,0.19407028803105125
technologies,303,0.19407028803105125
enterprises,301,0.1927892960308463
comunicazione,292,0.18702483202992398
360,290,0.18574384002971903
search,288,0.18446284802951404
propaganda,283,0.18126036802900167
brands,282,0.18061987202889918
graphics,281,0.1799793760287967
growth,275,0.17613640002818182
visual,268,0.17165292802746446
ag,267,0.171012432027362
communicatie,266,0.1703719360272595
worldwide,263,0.16845044802695208
team,263,0.16845044802695208
corporation,255,0.16332648002613223
video,255,0.16332648002613223
smart,255,0.16332648002613223
integrated,253,0.16204548802592728
