word,frequency,frequency %
foundation,3652,8.242117854160554
inc,3074,6.937642465413347
association,2500,5.6421945880069515
center,1381,3.11674829041504
chamber,1283,2.8955742625651673
community,1259,2.841409194520301
commerce,1206,2.721794669254553
international,1132,2.5547857094495474
society,1043,2.3539235821165
county,951,2.1462908212778444
development,856,1.9318874269335802
council,703,1.5865851181475548
services,685,1.5459613171139046
project,633,1.42860366968336
business,616,1.3902367464849128
network,604,1.3631542124624794
national,584,1.3180166557584239
alliance,570,1.2864203660655849
new,560,1.263851587713557
youth,551,1.2435396871967321
american,548,1.2367690536911238
institute,535,1.2074296418334876
united,488,1.1013563835789568
greater,481,1.0855582387325373
trust,478,1.078787605226929
group,428,0.9659437134667901
family,422,0.9524024464555734
education,408,0.9208061567627345
area,406,0.9162924010923289
hope,398,0.8982373784107066
housing,392,0.8846961113994899
centre,374,0.8440723103658399
club,373,0.8418154325306371
children,345,0.7786228531449593
house,344,0.7763659753097565
global,342,0.7718522196393509
health,336,0.7583109526281342
fund,324,0.7312284186057009
social,322,0.7267146629352953
childrens,316,0.7131733959240786
action,309,0.6973752510776592
women,307,0.6928614954072536
stichting,306,0.6906046175720508
way,300,0.6770633505608341
consulting,299,0.6748064727256313
cancer,294,0.6635220835496175
north,290,0.6544945722088064
management,286,0.6454670608679952
central,284,0.6409533051975896
world,283,0.6386964273623869
girls,282,0.6364395495271841
arts,278,0.6274120381863729
ministries,278,0.6274120381863729
llc,276,0.6228982825159675
economic,275,0.6206414046807647
care,270,0.6093570155047507
corporation,269,0.607100137669548
america,267,0.6025863819991424
valley,267,0.6025863819991424
life,266,0.6003295041639396
canada,261,0.5890451149879257
partnership,258,0.5822744814823173
ltd,250,0.5642194588006951
coalition,249,0.5619625809654923
big,246,0.555191947459884
initiative,243,0.5484213139542756
humanity,242,0.5461644361190728
south,239,0.5393938026134645
rescue,233,0.5258525356022479
san,229,0.5168250242614367
womens,226,0.5100543907558284
fundacin,224,0.5055406350854228
organization,222,0.5010268794150172
nonprofit,221,0.4987700015798145
habitat,220,0.4965131237446117
kids,220,0.4965131237446117
food,219,0.4942562459094089
leadership,219,0.4942562459094089
city,215,0.4852287345685978
research,214,0.48297185673339504
mission,213,0.48071497889819226
chapter,209,0.4716874675573811
child,207,0.46717371188697554
st,204,0.46040307838136724
support,200,0.4513755670405561
charity,195,0.4400911778645422
boys,193,0.43557742219413664
africa,193,0.43557742219413664
service,189,0.4265499108533255
australia,189,0.4265499108533255
home,188,0.4242930330181227
uk,184,0.4152655216773116
school,182,0.41075176600690605
academy,179,0.4039811325012977
florida,174,0.3926967433252838
league,174,0.3926967433252838
resource,173,0.39043986549008103
solutions,171,0.38592610981967546
young,170,0.38366923198447267
friends,170,0.38366923198447267
