word,frequency,frequency %
estate,7907,12.130091278668406
real,7577,11.623839840454092
realty,6938,10.643552964639104
group,5580,8.56025159162384
llc,5533,8.488149114059983
inc,4748,7.2838843292168445
property,4161,6.383370407302293
properties,3329,5.107003144895298
management,2891,4.435069417810846
ltd,2495,3.8275676919536705
services,1618,2.48216614251745
homes,1508,2.3134156631126794
home,1287,1.9743806090358211
development,1251,1.9191531794124415
capital,1250,1.9176190841451255
company,1184,1.8163687965022628
partners,1015,1.5571066963258418
associates,804,1.2334125949221446
solutions,798,1.224208023318248
limited,778,1.193526117971926
remax,775,1.1889238321699778
team,743,1.1398327836158626
title,738,1.1321623072792821
realtors,727,1.115287259338805
investments,724,1.1106849735368567
international,699,1.0723325918539541
co,668,1.024775638567155
commercial,662,1.0155710669632585
investment,602,0.9235253509242924
advisors,533,0.8176727774794815
agents,507,0.7777863005292629
corporation,468,0.717956585103935
williams,457,0.7010815371634579
imveis,431,0.6611950602132393
residential,426,0.6535245838766588
pvt,425,0.6519904886093426
immobilier,423,0.6489222980747105
land,423,0.6489222980747105
estates,419,0.6427859170054461
keller,417,0.6397177264708138
bv,413,0.6335813454015494
companies,403,0.6182403927283885
mortgage,370,0.5676152489069571
housing,367,0.5630129631050088
inmobiliaria,356,0.5461379151645317
new,352,0.5400015340952673
consulting,348,0.5338651530260029
agency,344,0.5277287719567385
century,326,0.5001150571450487
corp,320,0.49091048554115213
association,320,0.49091048554115213
21,309,0.474035437600675
city,303,0.4648308659967784
brokerage,294,0.4510240085909335
inspections,286,0.4387512464524047
first,283,0.4341489606504564
living,282,0.4326148653831403
gmbh,282,0.4326148653831403
consultants,278,0.4264784843138759
ab,276,0.4234102937792437
house,270,0.41420572217534707
banker,265,0.4065352458387666
holdings,263,0.4034670553041344
coldwell,261,0.4003988647695022
imobiliria,260,0.3988647695021861
urban,255,0.3911942931656056
one,248,0.3804556262943929
business,246,0.3773874357597607
appraisal,245,0.37585334049244457
makelaars,244,0.3743192452251285
asset,239,0.36664876888854797
brokers,236,0.3620464830865997
pty,233,0.3574441972846514
developments,224,0.34363733987880646
west,222,0.34056914934417426
premier,218,0.33443276827490986
vastgoed,217,0.3328986730075938
global,215,0.3298304824729616
luxury,213,0.3267622919383294
srl,209,0.32062591086906495
inspection,206,0.3160236250671167
apartments,203,0.31142133926516835
immobiliare,202,0.3098872439978523
financial,201,0.30835314873053615
lettings,200,0.3068190534632201
developers,194,0.2976144818593235
national,193,0.29608038659200736
invest,193,0.29608038659200736
american,192,0.2945462913246913
sales,192,0.2945462913246913
park,188,0.28840991025542684
florida,181,0.2776712433842142
community,181,0.2776712433842142
pacific,178,0.27306895758226585
marketing,176,0.27000076704763365
makelaardij,176,0.27000076704763365
equity,175,0.2684666717803176
center,175,0.2684666717803176
enterprises,174,0.26693257651300145
rentals,171,0.2623302907110532
