word,frequency,frequency %
recruitment,3562,9.857751701998119
inc,2856,7.903913211933359
ltd,2703,7.480489289865501
group,2486,6.879946864448995
staffing,2302,6.370731167321636
search,2202,6.093983505839375
solutions,1930,5.341229866607627
llc,1890,5.230530802014723
consulting,1443,3.9934687551890184
services,1428,3.9519566059666795
associates,1083,2.9971771738528807
executive,1016,2.8117562406597663
partners,862,2.3855648419770854
talent,825,2.2831682072286488
limited,813,2.2499584878507775
recruiting,796,2.202911385398793
personnel,660,1.826534565782919
international,601,1.6632534455083854
global,541,1.4972048486190292
resources,534,1.477832512315271
consultants,494,1.3671334477223667
management,491,1.3588310178778988
gmbh,455,1.2592018597442851
bv,418,1.1568052249958487
people,414,1.1457353185365584
hr,364,1.0073614877954282
recruiters,341,0.9437095256545083
ab,330,0.9132672828914595
employment,318,0.8800575635135883
professional,299,0.8274755078319588
career,294,0.8136381247578458
pvt,279,0.7721259755355068
resourcing,268,0.741683732772458
resource,266,0.7361487795428129
company,258,0.7140089666242321
healthcare,252,0.6974041069352964
agency,251,0.6946366303204738
professionals,236,0.6531244810981347
pty,234,0.6475895278684896
jobs,233,0.6448220512536669
technical,233,0.6448220512536669
medical,221,0.6116123318757957
consultancy,221,0.6116123318757957
network,216,0.5977749488016826
staff,214,0.5922399955720374
human,208,0.5756351358831018
selection,198,0.5479603697348757
technology,189,0.5230530802014723
business,184,0.5092156971273593
recruit,176,0.48707588420877845
uk,174,0.48154093097913325
placement,174,0.48154093097913325
careers,167,0.46216859467537497
job,165,0.45663364144572977
co,165,0.45663364144572977
legal,160,0.44279625837161674
hire,155,0.42895887529750376
capital,152,0.42065644545303593
sales,146,0.4040515857641003
technologies,133,0.36807438977140644
engineering,131,0.36253943654176124
ag,131,0.36253943654176124
specialists,126,0.3487020534676482
service,123,0.3403996236231804
care,121,0.3348646703935352
interim,121,0.3348646703935352
source,121,0.3348646703935352
workforce,118,0.32656224054906735
health,112,0.30995738086013175
work,109,0.3016549510156639
new,109,0.3016549510156639
digital,108,0.2988874744008413
rh,108,0.2988874744008413
first,104,0.2878175679415509
corporate,102,0.2822826147119057
recrutement,101,0.27951513809708306
partnership,98,0.2712127082526153
select,97,0.26844523163779266
systems,97,0.26844523163779266
corporation,96,0.26567775502297003
grn,96,0.26567775502297003
personal,94,0.26014280179332483
uitzendbureau,93,0.25737532517850226
,91,0.25184037194885706
manpower,89,0.24630541871921183
financial,87,0.24077046548956663
finance,86,0.238002988874744
education,84,0.2324680356450988
private,84,0.2324680356450988
placements,83,0.2297005590302762
tech,82,0.2269330824154536
india,82,0.2269330824154536
james,80,0.22139812918580837
direct,80,0.22139812918580837
elite,79,0.21863065257098577
one,78,0.21586317595616317
connect,75,0.20756074611169537
marketing,72,0.19925831626722754
specialist,72,0.19925831626722754
premier,71,0.19649083965240494
